SYS_NO,NTCE_WATER_ID_NM,NTCE_WATER_TITLE_NM,NTCE_WATER_CN,CTGRY_ONE_FLAG_CD,CTGRY_ONE_NM,CTGRY_TWO_FLAG_CD,LOCPLC_ALL_ADDR,ACMD_NMPR_CO,CARD_SETLE_AT,DETAIL_ADDR,CVNTL_NM,UTILIIZA_CHRGE_CN,PROGRM_NM,CNSLT_TEL_NO,RSTDE_GUID_CN,PRKPLCE_EXST_AT,TEL_NO,GO_TRNSPORT_MTH_CN,CMNG_TRNSPORT_MTH_CN,OPN_FCLTY_NM,DSCNT_AT,UTILIIZA_TIME,HMPG_ADDR,OPER_TIME,GID_LA,GID_LO,REPRSNT_IMAGE_ONE_NM,REPRSNT_IMAGE_TWO_NM,REPRSNT_IMAGE_THREE_NM,THEME_MAIN_IMAGE_NM
477,377,해운대 밤바다,"고층빌딩과 호텔 숲을 거느린 해운대 밤바다는 고급스런 운치와 아늑한 정취를 동시에 안겨준다.
조선비치호텔에서 바라본 해운대의 야경도 눈부시거니와 해운대 해수욕장을 지나
멀리 송정으로 넘어가는 달맞이 언덕의 야경도 아름답기 그지없다.

저녁 달을 구경할 수 있는 최고의 자리라 하여 대한팔경의 하나로 꼽혔던 달맞이 언덕에서 보는
해운대 해수욕장과 함께 빙 둘러싼 고층건물들이 빚어내는 야경도 그만이고
해안선을 따라 바다 위를 오가는 크루저에서 바라본 해운대는,
도시의 불빛과 밤 하늘의 달빛이 어우러져 한 폭의 그림 같은 풍경을 연출한다.
특히 남구 이기대에서 바라 본 해운대의 밤 풍경은 오래 전부터 유명하다",b03,b03,부산광역시 해운대구 달맞이길62번길,,null,47,,,,,해운대구청(051)749-4081,null,없음,051)749-4081,"해운대역 (3,5번출구)하차 → 도보 10분","급행:1003, 1001 좌석:1003일반:115-1, 139, 63, 31, 38, 200, 100, 100-1, 307 마을:해운대구10, 해운대구2, 해운대구8, 해운대구7",없음,null,null,,,35.16,129.167,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/W_0038_02.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/W_0038_03.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/W_0038_04.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/W_0038_01.jpg
478,379,자갈치시장과 영화,"나팔바지와 교복이 아련한 향수를 불러일으키고 사나이들간의 의리와 또 그들만의 고독을 다시 한번 생각하게 하는 영화 ‘친구’의 열풍으로 부산의 억센 사투리와 함께 관광 명소로 떠오른 자갈치시장.

1970년대 중반부터 80년대를 거쳐 1990년 까지 부산을 배경으로 한 영화 ‘친구’에서 주인공 준석의 주요 활동 장면으로 등장했던 자갈치시장은 우리나라 최대의 수산 시장으로 숱한 이야기와 화제가 쌓인 곳이기도 하다.

영화 중반 검정 교복의 고등학생인 준석 동수 중호 상택이 국제시장 까지 달리기 시합을 벌이며 자갈치 건어물 골목을 달리는 배경으로 로버 트 팔 머의 ""Bad case of loving you"" 가 경쾌하게 들려오는 이 장면은 이 영화를 추억하는 이들이 꼽는 명장면이다.
건어물 골목을 달리면서 네 명 의 주인공들이 모퉁이를 도는 장면에 ‘동방상회’라고 쓰여진 가게 간판이 눈에 띈다.

억척 같으면서도 신명 넘치는 부산 사람들의 삶이 베어 있는 곳. 부산의 대명사로 불리며 영화 ‘친구’의 억센 사투리와 진한 우정 이야기를 풀어내는 자갈치 시장에 서면 다시 한 번 이 골목을 뛰고 싶은 설렘이 일어난다",b03,b03,부산광역시 중구 자갈치해안로,,null,52,,,,,051)245-2594~5,매월 마지막주 화요일,"주차가능   - 11대(주차상한제 적용지역), 장애인 주차 4대",051)245-2594~5,1호선(자갈치)\/ 1호선(남포),"일반: 61, 11, 66, 71, 7, 9, 6, 30, 113, 27 &amp;ltbr&amp;gt공항: 부산역 &amp;ltbr&amp;gt좌석: 1000, 1004, 1003, 58-1 &amp;ltbr&amp;gt급행: 1003 &amp;ltbr&amp;gt마을: 서구2-2, 서구3, 중구1, 영도구2 &amp;ltbr&amp;gt",null,null,null,,,35.097,129.031,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/C_0156_02.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/C_0156_03.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/C_0156_04.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/C_0156_01.jpg
479,38,어울마당,"달맞이언덕 해월정을 지나 송정으로 향해 가다보면 오른쪽으로 어울마당이 자리잡고 있다.

탁 트인 바다를 배경으로 달을 형상화한 야외무대에서는 문화공연이 수시로 열린다",b03,b03,부산시 해운대구 중2동,,null,null,,,,,051)749-4000,null,null,051)749-4000,"2호선 해운대 하차 → 마을버스 해운대구 8번(주공아파트 정문 하차), 10번(힐사이드슈퍼 하차)",■ 기차로 오실 때 (부산역하차)&amp;ltbr&amp;gt- 버스&amp;ltbr&amp;gt* 1001번 → 장산지하철역 하차 → 마을버스10번&amp;ltbr&amp;gt- 지하철&amp;ltbr&amp;gt* 승차 → 서면역 2호선 → 장상역 → 마을버스10번&amp;ltbr&amp;gt&amp;ltbr&amp;gt■ 비행기로오실 때 (김해공항에서)&amp;ltbr&amp;gt- 버스&amp;ltbr&amp;gt* 307번 → 한독문화여고 하차(38번 환승) → &amp;ltbr&amp;gt마을버스10번 &amp;ltbr&amp;gt&amp;ltbr&amp;gt■ 시외버스로 오실 때&amp;ltbr&amp;gt ○ 노포동 종합버스터미널&amp;ltbr&amp;gt-버스&amp;ltbr&amp;gt* 1002(심야) → 삼성홈플러스(115-1번 환승)&amp;ltbr&amp;gt→ 장산지하철역 → 마을버스10번&amp;ltbr&amp;gt ○ 사상 서부시외버스터미널&amp;ltbr&amp;gt- 버스&amp;ltbr&amp;gt* 186번 → 부산범천교회 하차(38번 환승)&amp;ltbr&amp;gt→ 장산지하철역 → 마을버스10번&amp;ltbr&amp;gt,"더블룸, 온돌특실부대시설: 해천온천사우나",null,null,,,35.16,129.185,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1420_02.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1420_03.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1420_04.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1420_01.jpg
480,381,금정체육공원,"금정체육공원은 2002 부산아시아게임을 위해 만들었으며 대회 종료 후 부산 시민들에게 휴양시설을 제공하기 위하여 조성한 공원과 개방의 개념을 도입한 공원형체육시설로서, 중앙부에 주변환경에 부합할 수 있도록 수변광장을 형성하고, 30m 높이의 음악분수를 설치하는 한편, 주변에 잔디광장, 가족산책공원, 정글숲, 송림숲과 조깅코스, 자전거도로 등 시민을 위한 공원시설을 갖추고 있다. 

또한 국내외 각종 경기시 경기장으로 활용되고 있으며 건전한 레저스포츠로서의 경륜경기 관람과 배팅을 통한 현대인들의 활력소 역할을 하고 있을 뿐만 아니라, 워터파크, 실내골프, 휘트니스 등 스포츠센터와 탄생의 신비관, 재난안전체험관, 자전거 문화관, 갤러리 등 교육 및 전시관을 갖추고 있으며, 가족단위의 소풍, 야유회, 체육대회 등 시민의 여가선용과 휴식공간의 역할을 담당하고 조깅, 자전거, 테니스, 배드민턴 등 생활체육을 즐길 수 있는 종합레포츠 공간으로 시만들의 많은 사랑을 받고 있다",b03,b03,부산광역시 금정구 체육공원로,,null,399번길 324 (두구동),,,,,1577-0880,연중무휴,"대형 28대, 소형 1852대, 장애인 66대 (공원방문객은 7번 게이트 주차장 이용)",1577-0880,"1호선 노포역 하차 후 버스 37, 50번 환승 또는 마을버스2-2","마을: 금정구2-2, 금정구2-3, 금정구2-1 일반: 50, 37, 301, 12-1, 2100, 301, 37, 50, 58, 59 좌석: 1002, 1127, 1137, 1127, 1137","관광안내소, 주차장, 탈의실, 샤워실, 미아보호소, 공중화장실, 무선인터넷장애인 편의시설",null,공원 자유이용,,,35.292,129.105,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/101910502.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/101910509.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/731143545.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1019104955.jpg
481,382,부산카이트보딩협회 - 다대포,"카이트보딩은 연(Kite)과 보딩의 합성어로 대형 연을 동력삼아 바다에서 보딩을 즐기는 익스트림 해양레포츠로 이번 대회는 코스레이싱, 행타임, 프리스타일 등 3개 종목에 걸쳐 9개 경",b03,b03,부산광역시 사하구 다대동,,,다대포해수욕장  몰운대주차장,,,,,051) 207-3700,비성수기,"488면(주차장344면, 몰운대입구 주차장144면) 무료",051) 207-3700,null,"2, 11, 96, 98",null,null,9시~6시,,,35.059,128.971,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/101993619.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/731143855.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/73114394.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/101993610.jpg
482,383,북구문화빙상센터,"부산광역시 북구 문화빙상센터는 북구 시민들의 복합문화 예술공간으로써 전국 자치구 단위로는 최고의 현대화된 시설을 자랑합니다.

수준높은 문화서비스 제공은 물론, 지역문화 창달과 문화 정보 중심센터의 역할을 다할 것이며 부산의 관문인 남해고속도로 I.C부근에 위치하여 타지역과의 만남의 광장이 될 것입니다.

실내빙상장의 경우, 국제규격의 링크규모를 자랑하고있으며 사계절 구분없이 이용 가능합니다",b03,b03,부산광역시 북구 금곡대로,,null,46번길 50 (덕천동) 일원,,,,,051)309-4087,매주 월요일,"주차장 : 176대 →철골 주차장 161대, 회관 내 15대",051)309-4087,2호선(덕천역 10번 출구)3호선(덕천역),"마을: 북구7-2, 금정구1, 북구3, 북구7, 북구2, 북구8-1, 북구1-1, 강서구11, 강서구13, 강서구5 일반: 59, 111, 121, 15, 63, 148, 130, 169, 307, 148-1 급행: 1009, 1004 좌석: 1004, 207, 207","잔디광장, 수림대, APEC기념관, APEC상징수변 야외 무대, 수경관 조망스탠드, 조깅코스",null,"9:00~18:00, 입장마감 (17:30)",,,35.214,129.006,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/5135554.JPG,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/731143150.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/731143156.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/5135519.jpg
483,384,새김터화랑,서양화 및 조각전 등이 열려 시민들에게 예술적 만남을 제공한다,b03,b03,부산시 수영구 남천1동,,null,1월-33,,,,,051)623-5729,월요일,주차가능,051-623-5729,2호선(금련산)&amp;ltbr&amp;gt,"일반버스 : 20, 38, 40, 41, 42, 49-1, 108, 131&amp;ltbr&amp;gt직행버스 : 1001, 1003&amp;ltbr&amp;gt",웰빙찜질방부대시설: 휘트니스,null,null,,,35.15,129.111,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_0550_02.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/81163751.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_0550_01.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_0550_01.jpg
484,385,황학대,"고산 윤선도가 기장에서 7년간이나 긴 유배생활을 한 것도, 그리고 이곳에서 견회요와 우휴요 등 주옥같은 시 여섯수를 남긴 것 역시 아는 사람이 극히 드물다.
조선시대 정철 박인로와 함께 3대 가인으로 시조문학의 최고봉을  이룬 윤선도는 30대인 1616년 당시 국사를 마음대로 주무르고 전횡하던 영의정 등의 죄상을 밝히는 상소문을 올린 것이 화가 되어 함경도 경원으로 유배되었다. 경원에서 1년을 보낸 뒤 고산은 다시 기장으로 이배되었다.
유배생활에 들어간 고산은 백사장 건너에 있는 송도를 ’황학대’라  이름짓고서 이곳을 매일 찾았다. 수십 그루의 노송에 쌓여 있는 황학대를 옛날 신선이 황학을 타고 하늘로 올라갔다는 중국 양자강 하류의 이태백 도연명 등 많은 시객들이 찾아 놀던 황학루에 비교했었다.
고산은 이곳에서 갈매기와 파도소리를 벗 삼아 한 많은 시름을   달래곤 했다. 아무튼 죽성에서 유배생활을 하는 동안 고산은 많은   서적들을 어렵게 구해 탐독했으며 여가를 이용, 마을 뒤에 있는 봉대산에 올라 약초를 캐어 병마에 시달리는 죽성 사람들을 보살피곤 했는데 이곳 사람들은 고산을 서울에서 온 의원님이라 불렀다고 여태껏 구전되어 오고 있다.
377년 전 고산이 이곳에 유배되어 올 때는 초가 몇 채와 아름다운  백사장 그리고 죽성천에서 내려오는 맑은 강물이 해수와 어울렸고   그 옆에는 부엉산이 있어 부엉이의 울음소리는 천길 만길 낯설은   땅에 던져져 있는 고산의 쓰린 마음을 더욱 안타깝게 했으리라.

■ 특징 : 윤선도의 7년간 유배",b03,b03,부산 기장읍 죽성리,,null,30-34,,,,,051)709-4081,null,없음,051)709-4081,없음,마을:기장군6,없음,없음,null,,,35.241,129.249,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/82111825.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/82111832.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/82111837.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/715175027.jpg
485,386,파도의 광장,"천혜의 기암절벽과 바다의 낭만이 수려한 그림처럼 펼쳐진 절영해안산책로. 영도의 관문인 영도대교, 부산대교를 지나 영선동 아랫로타리에서 제2송도 바닷가쪽으로 500m정도 가다보면 반도보라아파트가 나타나고 산책로 입구에 위치한 관리동 및 휴게시설이 산책객을 맞이하고 있다. 

이곳은 과거에는 지형이 가파르고 험난한 군사보호구역으로 접근이 어려웠으나 시민들의 해양관광 욕구를 충족시키기 위하여 공공근로사업으로 조성한 산책로로서, 대마도와 송도 쪽으로 드넓은 바다 풍경을 배경삼아 연장 3㎞의 해안산책로를 2시간 정도 굽이굽이 거닐 때마다 경치가 달라지고, 파도곁으로 내려서면 자갈소리가 합창을 하며 곳곳에는 장승과 돌탑, 출렁다리, 장미터널, 파도광장, 무지개 분수대 등 아기자기한 볼거리, 즐길거리 등도 곳곳에 마련되어 있다. 
특히 쓰레기 산을 계단식 스탠드로 조성한 원형계단 ‘파도의 광장’에 앉아 바다를 보고 있노라면 파도소리가 아름다운 오페라 선율처럼 들려와 전국 어느 도시에서도 느낄 수 없는 꿈과 낭만이 가득한 해안산책로에서 바다를 마음껏 품어 볼 수 있다",b03,b03,부산광역시 영도구 남항남로,,null,45,,,,,051)419-4064,연중무휴,null,051)419-4064,없음,"영도대교 - 8, 30, 66, 88A, 101 \/ 부산역 - 101",null,null,null,,,35.085,129.039,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1019131020.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/82112013.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/82112025.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/101913105.jpg
486,388,암남공원 해안산책로,"해안의 소나무 숲 사이로 바라다 보이는 바다풍경과 그 위에 유유히 떠 있는 배들의 모습으로 한 폭의 그림을 선사하는 공원이 있다.
천혜의 해안절경을 자랑하는 암남공원은 서구 암남동 산193번지 일원 진정산 일대의 자연공원으로, 온통 울창한 숲으로 둘러싸여 있고 해안선을 따라 바다를 바라보며 삼림욕을 즐길 수 있는 곳, 기암절벽의 전시장인 이 곳은 최상의 도심 공원이다.

산책로를 따라 공원을 한바퀴 둘러보는데 소요되는 시간은 1시간 정도. 중간 중간에 전망대와 벤치가 있는 휴게광장에 이르면 탁 트인 바다를 시원스레 내려다 볼 수 있다.
바로 눈 밑에는 손에 잡힐 듯 작은 섬 두도와 그 곳에 우뚝 선 하얀 등대가 그림처럼 시야에 들어온다. 해풍을 맞으며 탁 트인 남해바다를 감상하는 멋을 느낄 수 있는 고즈넉한 공원 분위기를 연출하는 암남공원은 서구가 자랑하는 자연생태 공원이기도 하다.
도심 인근에 위치하여 천혜의 해안절경과 함께 삼림욕을 즐길 수 있는 공원이 우리 곁에 있다는 것만으로도 이 곳을 찾는 시민들을 마냥 즐겁게 한다.
39만㎡ 규모의 도시근린공원. 약 1억년전 형성된 퇴적암ㆍ원시림ㆍ100여종의 야생화와 370여종의 식물등 도심에서 보기 드문 자연생태가 군락을 이루고 있는 원시자연공원으로, 해양성 식물이 자생하고 있는 것이 특징이다.
주변에는 낚시터ㆍ전망대ㆍ산책로 등을 갖추고 있다.
동쪽은 부산항의 남항이고 서쪽은 감천항이며, 남쪽은 멀리 한려해상 국립공원인 다도해이다.
육지 안으로는 국립수의과학검역원 부산지원이 있다. 자연과 더불어 여유를 즐길 수 있는 멋진 자연의 암남공원엔 입장료가 없는 것도 더 없는 매력이다",b03,b03,부산광역시 서구 암남공원로,,null,185,,,,,051)240-4542,연중 무휴,null,051)240-4542,"1호선 남포역 하차 후 버스 7,9,9-1,71번 환승&lt;br&gt;&lt;br&gt;","일반: 71, 7, 9, 9-1 &amp;ltbr&amp;gt",null,null,null,,,35.057,129.015,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/712111231.JPG,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/712111243.JPG,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/712111238.JPG,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/712111250.JPG
487,389,이기대 해안산책로,"부산 남구 용호동일원의 이기대공원에는 해안절벽을 따라 조성된 해안산책로가 있다.
‘이기대 해안산책로'는 말 그대로 바다와 하늘을 눈에 가득 안고 파도소리를 들으며 바다에 접한 절벽 위를 걷는 최고의 명품 길이다.
이기대 해안산책로는 동생말~어울마당~농바위~오륙도 해맞이공원으로 이어지는 3.95㎞ 구간으로 넘실대는 파도 속에 부서지는 하얀 물보라를 바로 발밑에서 느낄 수 있는 구름다리 5개소와 약 1.5km에 이르는 데크로드, 깎아지른 듯한 바윗길, 숲과 바다의 정취를 느낄 수 있는 흙길로 이루어져 있다.
군부대에서 관리하고 있다가 1993년에야 일반인에게 개방됐으며 그 경관을 보존하기 위해 1997년 공원지역으로 지정, 관리해 오면서 2005년부터 본격적으로 해안산책로를 조성하기 시작했다.
LG메트로시티 아파트를 지나 용호부두가 있는 동생말부터 못난이 골짜기 - 목너머 - 이기대 - 장바위 - 남끝 - 처마바위 - 박골새 - 농바위 - 산태골 - 용호동 포진지 - 오륙도 해맞이공원 까지 길게 늘어진 바닷가 산책로엔 재미있는 이름의 절경들이 펼쳐져 있다.
한편, 이기대는 남구 용호동에 있는 장산봉(225.3m)자락 동쪽바다와 이곳에 있는 해안 암반으로서 기기묘묘한 바위로 어우러진 약 2Km에 달하는 해안 일대 바위들이 비스듬히 바다로 빠져드는 모양을 하고 있다.
이 바위 반석에서 바라보는 동해 파도 일출과 월출의 풍경을 비롯한 주위의 경관이 무척 빼어나고 낚시터로도 각광받고 있다.
탁 트인 동해 바다는 물론 광안대교, 해운대 APEC누리마루하우스 등의 부산 명소를 볼 수 있어 더욱 좋은 곳이다. 그리고 봄에는 순환도로변의 화사한 벚꽃, 여름에는 멕시코 해바라기라 불리는 루드베키아가 화들짝 피어난 꽃길을 만날 수 있는 곳이다.
이기대의 명칭에 대해 여러 가지 설이 있으나 향토사학자에 의하면 임진왜란 때 왜군이 수영성을 함락시키고는 경치 좋은 이 곳에서 축하 잔치를 열었는데 왜장에게 술을 잔뜩 권하고 술 취한 왜장과 함께 물에 떨어져 장렬한 죽음을 맞이한 수영의 두 기생이 이 곳에 묻혀 있어서 이 곳을 이기대(二妓臺)라 한다는 설이 유력하다",b03,b03,부산광역시 남구 이기대공원로,,null,105-20,,,,,051)607-4122,연중 무휴,null,051)607-4122,"2호선 경성대부경대역 하차 후 버스 20,22,24,27,39,131번 환승&lt;br&gt;&lt;br&gt;",마을: 남구9&amp;ltbr&amp;gt,null,null,null,,,35.123,129.123,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_0763_01.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_0763_03.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/114142825.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1016155542.jpg
488,38991,닥밭골 벽화,닥나무가 많아 닥밭골로 불리기 시작한 닥밭골은 닥밭골 또는 고분도리로 불렸으며 서구 대신동의 옛 지명이기도 하다. 지난 2010년 '닥밭골 갤러리 만들기 프로젝트'로 희망근로자와 자원봉사자들의 도움으로 벽화마을로 재탄생했다,b03,b03,부산광역시 서구 망양로 170,,null,null,,,,,null,null,공영주차장,null,1호선 동대신역하차 (도보17분),"2번, 43번, 67번, 167번, 190번, 1000번",없음,null,null,,,35.114,129.024,http:\/\/vod.busan.go.kr\/photosystem\/rfc\/photo\/thumbnail\/136175867565690.jpg,http:\/\/vod.busan.go.kr\/photosystem\/rfc\/photo\/thumbnail\/136175867515117.jpg,null,http:\/\/vod.busan.go.kr\/photosystem\/rfc\/photo\/thumbnail\/136175867645712.jpg
489,39,강서문화원,"강서문화원에서는 우리지역의 역사 등 다양하고 유익한 문화정보를 제공하기 위해 설립되었고
민요반, 풍물반, 사진반, 도예반등 10개반의 문화학교를 운영하여 구민의 문화욕구를 충족하기 위해 최선을 다하고 있다.

또한 향토자료 수집, 강서문화 책자 발간, 문화유적지 탐방등 각종 문화사업을 펼치고 있다",b03,b03,부산시 강서구 대저1동,,null,2367 강서구청 별관3층,,,,,051)972-6369,null,null,051)972-6369,3호선 강서구청(2번출구) 하차 → 도보 10분,"■ 기차로 오실 때 (부산역하차)&lt;br&gt;- 지하철 : 1호선 부산역 → 3호선 연산동 환승 → 강서구청역 2,4번 출구(49분 소요)&lt;br&gt;- 구포역 → 지하철 3호선 이용 → 강서구청역 2,4번 출구 하차 &lt;br&gt;- 버 스 : 1004(좌석) 탑승 → 강서구청 정류장 하차 (80분 소요)&lt;br&gt;&lt;br&gt;■ 비행기로오실 때 (김해공항에서)&lt;br&gt;- 일반  버스 : 공항버스 307 탑승 → 강서구청 하차 (24분 소요)&lt;br&gt;&lt;br&gt;■ 시외버스로 오실 때&lt;br&gt; ○ 노포동 종합버스터미널&lt;br&gt;- 버  스 &lt;br&gt;* 50, 301 → 온천입구 (130-1번환승) → 강서구청 하차 &lt;br&gt;* 1002(심야), 50 → 럭키아파트하차 (미남교차로 307번환승) → 강서구청 하차 &lt;br&gt;- 지하철-버스 연결노선  &lt;br&gt;   1호선 → 연산동역 3호선 환승 → 강서구청역 2,4번 출구 &lt;br&gt;  &lt;br&gt; ○ 사상 서부시외버스터미널&lt;br&gt;- 버  스 : 159, 128, 1004번(심야)  → 강서구청하차&lt;br&gt;- 지하철 : 2호선 → 덕천역 3호선 환승 → 강서구청역(35분 소요)&lt;br&gt;","* 을숙도 철새공원1) 이용교육구간▶ 주요시설 - 피크닉광장, 초화원, 수림대, 탐방로, 남단 탐조대▶ 교육시설 - 종합안내도, 방향표지판, 자가학습안내판2) 완충교육구간▶ 주요시설 - 기수습지, 담수습지, 탐방로▶ 교육시설 - 야외학습장, 종합안내도, 학습안내판3) 핵심보전구역 - 인공생태계, 해수습지, 갈대수로 * 낙동강하구 에코센터1) 1층 - 종합안내실, 관리실, 교육실, 자원봉사실 등2) 2층 - 상설전시실, 체험존, 탐조대, 미니도서관 등3) 3층 - 영상실파고라, 평의자, 야외탁자, 화장실, 휴지통, 음수전, 주차장",null,null,,,35.213,128.98,null,null,null,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1152_01.jpg
490,390,이기대도시자연공원,"이기대도시자연공원은 장산봉과 바다로 이루어진 해상 자연공원이라 할 수 있다.

이기대라는 명칭이 불리어진 유래는 임진왜란 때 왜군들이 수영성을 함락하고 경치가
빼어난 이곳에서 잔치를 벌였는데 수영의 기생 두 사람이 잔치에 참가했다가 왜장에게
술을 잔뜩 권해 술에 취한 왜장과 함께 물속에 빠져 죽었다고 전해지고,
그 두 기생의 시체가 이곳에 묻혀 있어 이 곳을 이기대라 불려지기 시작했다고 전해진다.

군사지역으로 통제되어오다가 1993년부터 일반시민에게 개방되었기 때문에
자연 생태 역시 아주 잘 보존되어 있다

이기대는 거대한 바위들로 이루어져서 위험하게 보이지만 그 끝으로 잘 다듬어져 있는 공원산책길이 있다.

이 길이 있어 많은 사람들에게 안심을 하고 빼어난 절경을 감상할 수 있다",b03,b03,부산광역시 남구 이기대공원로,,,105-20,,,,,051)607-6361,연중무휴,null,051)607-6361,null,일반: 남구9&lt;br&gt;,"노인쉼터, 관리사무소자전거도로, 인라인스케이트장, 농구장, 족구장, 체육시설, 자전거도로연결로, 산책로, 우정교, 교통공원, 배드민턴장, 물놀이장, 음악분수, 파고라",null,null,,,35.123,129.123,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1657_02.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1657_03.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1657_04.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1657_01.jpg
491,39002,안창마을 벽화,"안창마을은 도심에서 이어지는 자그마한 분지에 입지해 있어 안쪽 끝이라는 의미로 안창이라는 마을 이름이 지어졌다. 6.25전쟁 때 피난 온 사람들이 한 채, 두 채 지은 판자촌이 현재의 모습으로 이어졌고 부산의 대표적인 달동네이다. 지난 2007년 안창마을 공공미술 프로젝트 '안(內).창(蒼).고(庫)'로 화려한 변신을 했으며 벽화와 다양한 설치미술품이 더해져 문화공간으로 탈바꿈했다",b03,b03,부산광역시 동구 안창로 69번길 7-3외46,,null,null,,,,,null,null,null,null,"1호선 범내골-&amp;gt29번, 87번, 동구1번","17번, ,29번, 59번, 87번, 동구1번",null,null,null,,,35.146,129.041,http:\/\/vod.busan.go.kr\/photosystem\/rfc\/photo\/thumbnail\/136175892645377.jpg,http:\/\/vod.busan.go.kr\/photosystem\/rfc\/photo\/thumbnail\/136175892745569.jpg,null,http:\/\/vod.busan.go.kr\/photosystem\/rfc\/photo\/thumbnail\/136175892702733.jpg
492,39019,알록달록 예쁜마을 대청동 색채마을,"'알록달록 예쁜마을'은 지난 2010년 부산의 랜드마크 용두산 공원에서 내려다 볼 수 있는 위치에 34동의 건물과 마을공용부분(계단, 바닥, 옹벽 등)에 서로 강조되는 색상을 그려 넣은 독특한 색채시범마을이자 다채로운 아름다움을 느낄 수 있다",b03,b03,부산광역시 중구 망양로 327-1,,null,null,,,,,null,null,null,null,null,"40번, 43번, 81번, 103번, 190번",null,null,null,,,35.107,129.029,http:\/\/vod.busan.go.kr\/photosystem\/rfc\/photo\/thumbnail\/136176418400074.jpg,http:\/\/vod.busan.go.kr\/photosystem\/rfc\/photo\/thumbnail\/136176418453950.jpg,null,http:\/\/vod.busan.go.kr\/photosystem\/rfc\/photo\/thumbnail\/136176418349470.jpg
